old.acc	run	biosample	taxid	size	isolation	geolocation	coords	phylum	order	family	genus	species	habitat	laboratory	libstrat	libsource	assembly_suyo	bases
SRS2795221	SRR6425924	SRS2795221	2066927	2.7041015625	NA	China: Yunnan	NA	Arthropoda	Araneae	Hersiliidae	Hersilia	Hersilia sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6011368000
SRS660111	SRR1514877	SRS660111	534858	1.2548828125	NA	USA: Cave locality, DeKalb Co, TN	NA	Arthropoda	Pseudoscorpiones	Chernetidae	Hesperochernes	Hesperochernes sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3158829944
SRS544279	SRR1145728	SRS544279	118582	3.87109375	NA	NA	NA	Arthropoda	Opiliones	Ceratolasmatidae	Hesperonemastoma	Hesperonemastoma modestum	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6431006000
SRS10232304	SRR15967545	SRS10232304	217256	1.681640625	captive bred	not applicable	NA	Arthropoda	Scorpiones	Scorpionidae	Heterometrus	Heterometrus laoticus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5523500479
SRS2795213	SRR6425926	SRS2795213	2066928	2.3212890625	NA	China: Yunnan	NA	Arthropoda	Araneae	Sparassidae	Heteropoda	Heteropoda sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5091948500
SRS4662576	SRR8944261	SRS4662576	268413	1.525390625	Lab reared	Germany	NA	Arthropoda	Araneae	Theraphosidae	Heteroscodra	Heteroscodra maculata	Terrestrial	TRUE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3698717991
SRS1274774	SRR3144074	SRS1274774	1794824	3.6953125	not applicable	USA: Louise Kreher Forest Ecology Preserve, Auburn, Lee Co, AL	32.6603 N 85.4836 W	Arthropoda	Araneae	Anyphaenidae	Hibana	Hibana sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8472728880
SRS3165401	SRR6997862	SRS3165401	489260	3.2080078125	whole body	Australia	NA	Arthropoda	Araneae	Austrochilidae	Hickmania	Hickmania troglodytes	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5829376200
SRS2745057	SRR6360559	SRS2745057	2058404	3.78515625	NA	Singapore	NA	Arthropoda	Araneae	Lycosidae	Hippasa	Hippasa holmerae	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	10577406900
SRS3165402	SRR6997861	SRS3165402	2080864	1.5302734375	whole body	New Zealand	NA	Arthropoda	Araneae	Huttoniidae	Huttonia	Huttonia palpimanoides	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3490357200
SRS5401305	SRR10135531	SRS5401305	259057	1.91015625	NA	NA	NA	Arthropoda	Araneae	Linyphiidae	Hylyphantes	Hylyphantes graminicola	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6507579540
SRS3165403	SRR6997860	SRS3165403	139864	2.9921875	whole body	USA	NA	Arthropoda	Araneae	Hypochilidae	Hypochilus	Hypochilus gertschi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6267426000
SRS7406308	SRR12687642	SRS7406308	2773983	3.8759765625	whole body	Trinidad and Tobago	NA	Arthropoda	Araneae	Araneidae	Hypognatha	Hypognatha sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7589123100
SRS1966960	SRR5241478	SRS1966960	1955537	3.2119140625	whole animal	Japan	NA	Arthropoda	Opiliones	Podoctidae	Idzubius	Idzubius akiyamae	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6734160900
SRS3165404	SRR6997859	SRS3165404	2080910	2.6630859375	whole body	Australia	NA	Arthropoda	Araneae	Oonopidae	Ischnothyreus	Ischnothyreus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5565077400
SRS5623115	SRR10413992	SRS5623115	2665714	3.474609375	NA	Brazil	NA	Arthropoda	Araneae	Ctenidae	Isoctenus	Isoctenus ordinario	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	12144612084
SRS5623114	SRR10413993	SRS5623114	2665718	3.919921875	NA	Brazil	NA	Arthropoda	Araneae	Ctenidae	Isoctenus	Isoctenus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	13806778376
SRS796115	SRR1721734	SRS796115	1577152	2.01953125	not applicable	not applicable	NA	Arthropoda	Scorpiones	Iuridae	Iurus	Iurus dekanum	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3532353300
SRS3165405	SRR6997858	SRS3165405	2080952	4.271484375	whole body	Australia	NA	Arthropoda	Araneae	Selenopidae	Karaops	Karaops raveni	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9180961500
SRS5035025	SRR9611060	SRS5035025	2566056	2.357421875	forest leaf litter	Australia: Western Australia, Greater Hawke National Park	NA	Arthropoda	Opiliones	Pettalidae	Karripurcellia	Karripurcellia peckorum	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5228785200
SRS3460857	SRR7427084	SRS3460857	1532981	3.4853515625	NA	Mexico: Jalisco	NA	Arthropoda	Scorpiones	Vaejovidae	Konetontli	Konetontli chamelaensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6762925054
SRS3464552	SRR7439043	SRS3464552	1532985	3.12890625	NA	Mexico: Michoacan	NA	Arthropoda	Scorpiones	Vaejovidae	Kuarapu	Kuarapu purhepecha	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6046205218
SRS4999026	SRR9332016	SRS4999026	1616999	4.568359375	NA	Australia: Nanarup, Two Peoples Bay, Little Beach	NA	Arthropoda	Pseudoscorpiones	Chthoniidae	Lagynochthonius	Lagynochthonius australicus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7904679091
SRS3165390	SRR6997873	SRS3165390	2080870	3.1376953125	whole body	Chile	NA	Arthropoda	Araneae	Linyphiidae	Laminacauda	Laminacauda parvipalpis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6563161500
SRS3165391	SRR6997872	SRS3165391	2080911	1.5732421875	whole body	Australia	NA	Arthropoda	Araneae	Lamponidae	Lampona	Lampona sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3774332100
SRS4999025	SRR9332017	SRS4999025	1046798	3.453125	NA	Denmark: Stampeskov at Raadvad	NA	Arthropoda	Pseudoscorpiones	Chernetidae	Lamprochernes	Lamprochernes savignyi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5608595709
SRS4999024	SRR9332018	SRS4999024	2590494	2.001953125	NA	USA: New York, E.N. Huyck Preserve	NA	Arthropoda	Pseudoscorpiones	Larcidae	Larca	Larca granulata	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4247317800
SRS544350	SRR1145742	SRS544350	863988	2.3037109375	NA	NA	NA	Arthropoda	Opiliones	Triaenonychidae	Larifuga	Larifuga capensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4396069200
SRS4662574	SRR8944263	SRS4662574	268490	1.8193359375	Lab reared	Germany	NA	Arthropoda	Araneae	Theraphosidae	Lasiodora	Lasiodora parahybana	Terrestrial	TRUE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4513258900
SRS2020157	SRR5285093	SRS2020157	156851	3.4365234375	NA	NA	NA	Arthropoda	Araneae	Theridiidae	Latrodectus	Latrodectus geometricus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6032049664
SRS2020185	SRR5285119	SRS2020185	256737	3.70703125	NA	NA	NA	Arthropoda	Araneae	Theridiidae	Latrodectus	Latrodectus hesperus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6352165932
SRS1265097	SRR3104396	SRS1265097	6925	2.1376953125	cave, farmland, drains	China	NA	Arthropoda	Araneae	Theridiidae	Latrodectus	Latrodectus tredecimguttatus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6014495000
SRS4999031	SRR9332011	SRS4999031	534659	4.8896484375	NA	USA:Oregon	NA	Arthropoda	Pseudoscorpiones	Lechytiidae	Lechytia	Lechytia hoffi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9684908700
SRS544278	SRR1145701	SRS544278	681537	2.0615234375	NA	NA	NA	Arthropoda	Opiliones	Leiobunidae	Leiobunum	Leiobunum verrucosum	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3358495200
SRS5623103	SRR10414009	SRS5623103	2665716	1.794921875	NA	USA: Texas, Vanderpool	NA	Arthropoda	Araneae	Ctenidae	Leptoctenus	Leptoctenus byrrhus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5438770600
SRS2795225	SRR6425914	SRS2795225	2066918	3.0439453125	NA	China: Beijing	NA	Arthropoda	Araneae	Leptonetidae	Leptoneta	Leptoneta foliiformis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6389981250
SRS544344	SRR1145740	SRS544344	329904	3.03515625	NA	NA	NA	Arthropoda	Araneae	Tetragnathidae	Leucauge	Leucauge venusta	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5324613192
SRS3165388	SRR6997875	SRS3165388	2080912	5.3173828125	whole body	USA	NA	Arthropoda	Araneae	Liocranidae		Liocranidae sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9800726100
SRS660107	SRR1514873	SRS660107	62150	3.361328125	NA	NA	NA	Arthropoda	Araneae	Liphistiidae	Liphistius	Liphistitus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5404328900
SRS544306	SRR1145736	SRS544306	1203467	7.615234375	NA	NA	NA	Arthropoda	Araneae	Liphistiidae	Liphistius	Liphistius malayanus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	12579596400
ERS1572489	ERR1856561	ERS1572489	1905180	2.21875	NA	Germany	49.5148903 N 8.24593179 E	Arthropoda	Araneae	Liphistiidae	Liphistius	Liphistius sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5124486840
ERR1856562	ERR1856562	ERS1572490	1905330	2.35332471877337	NA	Germany	49.5148903 N 8.24593179 E	Arthropoda	Araneae	Liphistiidae	Liphistius	Liphistius thaleban	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	TRUE	6257432371
SRS4898300	SRR9222872	SRS4898300	58217	2.9052734375	Peru	Peru: Lima	NA	Arthropoda	Araneae	Sicariidae	Loxosceles	Loxosceles laeta	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4861664031
SRS861685	SRR1824530	SRS861685	6921	3.5986328125	NA	NA	NA	Arthropoda	Araneae	Sicariidae	Loxosceles	Loxosceles reclusa	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5364341492
SRS2795222	SRR6425917	SRS2795222	571528	4.076171875	NA	China: Jiangxi	NA	Arthropoda	Araneae	Sicariidae	Loxosceles	Loxosceles rufescens	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9061377750
SRS7406309	SRR12687641	SRS7406309	2773984	2.8544921875	whole body	Spain	NA	Arthropoda	Araneae	Lycosidae	Lycosa	Lycosa sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5826202411
SRS487949	SRR1048826	SRS487949	1401004	2.27734375	NA	NA	NA	Arthropoda	Araneae	Araneidae	Macracantha	Macracantha arcuata	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3154298940
SRS3165394	SRR6997869	SRS3165394	2080913	6.3583984375	whole body	New Zealand	NA	Arthropoda	Araneae	Malkaridae		Malkaridae sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	13145913600
SRS3145405	SRR6967882	SRS3145405	2115794	2.3349609375	whole body	Costa Rica	NA	Arthropoda	Araneae	Araneidae	Mangora	Mangora sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4807668000
SRS3165395	SRR6997868	SRS3165395	2080915	4.0546875	whole body	New Zealand	NA	Arthropoda	Araneae	Orsolobidae	Maoriata	Maoriata sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8746504500
SRS8419630	SRR13918248	SRS8419630	1871973	13.341796875	Lab colony	Germany: Griefswald	NA	Arthropoda	Araneae	Salticidae	Marpissa	Marpissa muscosa	Terrestrial	TRUE	RNA-Seq	TRANSCRIPTOMIC	FALSE	44495932800
SRS4999030	SRR9332012	SRS4999030	2590495	3.6826171875	NA	Mexico: Chiapas, Palenque Ruins	NA	Arthropoda	Uropygi	Thelyphonidae	Mastigoproctus	Mastigoproctus lacandonensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6808880700
SRS7406310	SRR12687640	SRS7406310	2773985	7.201171875	whole body	Australia	NA	Arthropoda	Araneae	Cyatholipidae	Matilda	Matilda sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	13578190694
SRS7406311	SRR12687639	SRS7406311	2773986	7.1962890625	whole body	Costa Rica	NA	Arthropoda	Araneae	Anapidae	Maxanapis	Maxanapis burra	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	12385184598
SRS7406312	SRR12687638	SRS7406312	709029	4.6943359375	whole body	USA	NA	Arthropoda	Araneae	Mysmenidae	Maymena	Maymena ambita	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9634765769
SRS3165392	SRR6997871	SRS3165392	2080954	2.8037109375	whole body	Chile	NA	Arthropoda	Araneae	Mecysmaucheniidae	Mecysmauchenius	Mecysmauchenius sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5082615300
SRS823820	SRR1767669	SRS823820	1588038	6.630859375	not applicable	Mexico: Veracruz	NA	Arthropoda	Scorpiones	Euscorpiidae	Megacormus	Megacormus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	11130958800
SRS3165393	SRR6997870	SRS3165393	389047	2.853515625	whole body	New Zealand	NA	Arthropoda	Araneae	Nicodamidae	Megadictyna	Megadictyna thilenii	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6621332700
SRS3165386	SRR6997877	SRS3165386	2080917	1.427734375	whole body	New Zealand	NA	Arthropoda	Araneae	Synotaxidae	Meringa	Meringa sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3264833700
SRS1109174	SRR2592957	SRS1109174	34649	4.794921875	not applicable	not applicable	NA	Arthropoda	Scorpiones	Buthidae	Mesobuthus	Mesobuthus martensii	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5167659900
SRS3469620	SRR7439610	SRS3469620	1532992	2.4833984375	NA	Mexico: Guerrero	NA	Arthropoda	Scorpiones	Vaejovidae	Mesomexovis	Mesomexovis occidentalis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4748671348
SRS3469662	SRR7439652	SRS3469662	2212854	3.62109375	NA	Mexico: Guerrero	NA	Arthropoda	Scorpiones	Vaejovidae	Mesomexovis	Mesomexovis sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6974235638
SRS3165387	SRR6997876	SRS3165387	593432	3.9658203125	whole body	USA	NA	Arthropoda	Araneae	Tetragnathidae	Meta	Meta ovalis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8345344500
SRS544879	SRR1146667	SRS544879	1454755	8.9453125	NA	NA	NA	Arthropoda	Opiliones	Biantidae	Metabiantes	Metabiantes sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	14453310800
SRS7406314	SRR12687636	SRS7406314	243455	4.484375	whole body	USA	NA	Arthropoda	Araneae	Salticidae	Metacyrba	Metacyrba taeniola	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8295969000
SRS1274770	SRR3144078	SRS1274770	389063	1.3720703125	not applicable	USA: Auburn University, Lee Co, AL	32.5986 N 85.4833 W	Arthropoda	Araneae	Amphinectidae	Metaltella	Metaltella simoni	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3092957280
SRS3145404	SRR6967883	SRS3145404	472973	5.2001953125	whole body	USA	NA	Arthropoda	Araneae	Araneidae	Metepeira	Metepeira labyrinthea	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	10827135600
SRS1967845	SRR5242748	SRS1967845	1955542	3.8505859375	whole animal	Philippines	NA	Arthropoda	Opiliones	Podoctidae	Metibalonius	Metibalonius sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8008797300
SRS7406315	SRR12687635	SRS7406315	2773987	3.5322265625	whole body	Trinidad and Tobago	NA	Arthropoda	Araneae	Uloboridae	Miagrammopes	Miagrammopes sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6981892200
SRS660116	SRR1514882	SRS660116	473148	3.1103515625	NA	USA: Dadeville, Co., AL	32.8318 N 85.7636 W	Arthropoda	Araneae	Araneidae	Micrathena	Micrathena gracilis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5696326700
SRS4999028	SRR9332014	SRS4999028	2590515	4.2529296875	NA	USA: North Carolina, Great Smoky Mountain National Park, Lakeshore Trail near Gunter Branch	NA	Arthropoda	Pseudoscorpiones	Neobisiidae	Microbisium	Microbisium sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7628026800
SRS4999033	SRR9332009	SRS4999033	2590526	7.11328125	NA	USA: North Carolina, Great Smoky Mountain National Park, Lakeshore Trail near Gunter Branch	NA	Arthropoda	Pseudoscorpiones	Neobisiidae		Microcreagrinae sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	12869023200
SRS3166005	SRR6998666	SRS3166005	2080865	3.9873046875	whole body	Spain	NA	Arthropoda	Araneae	Mysmenidae	Microdipoena	Microdipoena jobi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8825697300
SRS1274767	SRR3144080	SRS1274767	336683	2.33984375	not applicable	USA: Opelika, Lee Co, AL	32.6887 N 85.4012 W	Arthropoda	Araneae	Thomisidae	Misumenoides	Misumenoides formosipes	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5323904670
SRS3166010	SRR6998664	SRS3166010	2080918	3.8642578125	whole body	Australia	NA	Arthropoda	Araneae	Prodidomidae	Molycria	Molycria sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8317034700
SRS4662564	SRR8944273	SRS4662564	2053173	2.626953125	Lab reared	Poland	NA	Arthropoda	Araneae	Theraphosidae	Monocentropus	Monocentropus balfouri	Terrestrial	TRUE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7256875500
SRS7406316	SRR12687634	SRS7406316	2773988	5.0888671875	whole body	India	NA	Arthropoda	Araneae	Mysmenidae		Mysmenidae sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9263106900
SRS7406317	SRR12687633	SRS7406317	2774005	4.9013671875	whole body	Trinidad and Tobago	NA	Arthropoda	Araneae	Mysmenidae	Mysmenopsis	Mysmenopsis ischnamigo	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9059981400
SRS7406318	SRR12687632	SRS7406318	2773989	4.8876953125	whole body	Trinidad and Tobago	NA	Arthropoda	Araneae	Theridiosomatidae	Naatlo	Naatlo sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9423595500
SRS3166006	SRR6998667	SRS3166006	2080919	2.443359375	whole body	Australia	NA	Arthropoda	Araneae	Tetragnathidae	Nanometa	Nanometa sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5125693200
SRS487951	SRR1048661	SRS487951	1401006	2.58203125	NA	NA	NA	Arthropoda	Araneae	Linyphiidae	Nasoonaria	Nasoonaria sinensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3598371900
SRS8661314	SRR14182158	SRS8661314	217255	1.8125	captive bred	Israel	NA	Arthropoda	Scorpiones	Diplocentridae	Nebo	Nebo hierichonticus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5914618470
SRS3407012	SRR7293662	SRS3407012	2219560	3.470703125	Not applicable	unknown	NA	Arthropoda	Pseudoscorpiones	Neobisiidae	Neobisium	Neobisium carcinoides	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5584424600
SRS4999032	SRR9332010	SRS4999032	2267479	5.8857421875	NA	Suriname: Raleighvallen-Voltzberg, Raleigh Falls	NA	Arthropoda	Opiliones	Neogoveidae	Neogovea	Neogovea matawai	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	11050099800
SRS4662572	SRR8944265	SRS4662572	2013900	1.8359375	Lab reared	Germany	NA	Arthropoda	Araneae	Theraphosidae	Neoholothele	Neoholothele incei	Terrestrial	TRUE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4580843710
SRS7406319	SRR12687631	SRS7406319	2773990	2.537109375	whole body	Chile	NA	Arthropoda	Araneae	Linyphiidae	Neomaso	Neomaso sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5297306100
SRS1924462	SRR5181448	SRS1924462	383936	5.4873046875	whole body	New Zealand	NA	Arthropoda	Opiliones	Pettalidae	Neopurcellia	Neopurcellia salmoni	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8975564400
SRS3166011	SRR6998660	SRS3166011	2080920	1.513671875	whole body	New Zealand	NA	Arthropoda	Araneae	Agelenidae	Neoramia	Neoramia sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3651349200
DRS100196	DRR129306	DRS100196	1112448	2.09375	NA	NA	NA	Arthropoda	Araneae	Araneidae	Neoscona	Neoscona theisi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4285031959
SRS2978327	SRR6747912	SRS2978327	299642	3.1572265625	Tree	Australia: Sunshine Coast	NA	Arthropoda	Araneae	Nephilidae	Nephila	Nephila pilipes	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7373825000
SRS1578689	SRR3943479	SRS1578689	450950	1.935546875	Sao Paulo	Brazil	NA	Arthropoda	Araneae	Nephilidae	Nephilengys	Nephilengys cruentata	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3027703800
SRS745868	SRR1655191	SRS745868	60723	2.0966796875	NA	NA	NA	Arthropoda	Araneae	Nesticidae	Nesticus	Nesticus bishopi	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5001949800
SRS7406320	SRR12687630	SRS7406320	61980	5.3642578125	whole body	missing	NA	Arthropoda	Araneae	Nesticidae	Nesticus	Nesticus cellulanus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	9809122421
SRS2745055	SRR6360560	SRS2745055	2058405	1.53125	NA	Singapore	NA	Arthropoda	Araneae	Pisauridae	Nilus	Nilus albocinctus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4243044600
SRS1961722	SRR5235518	SRS1961722	109753	2.3818359375	whole animal	Japan	NA	Arthropoda	Opiliones	Nipponopsalididae	Nipponopsalis	Nipponopsalis abei	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4147138200
SRS3166009	SRR6998662	SRS3166009	2080866	2.1279296875	whole body	New Zealand	NA	Arthropoda	Araneae	Linyphiidae	Novafroneta	Novafroneta gladiatrix	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4619456100
SRS4999050	SRR9331992	SRS4999050	2590516	5.798828125	NA	USA: Virginia, Washington Co., Rogers National Recreation Area, Beartree campground	NA	Arthropoda	Pseudoscorpiones	Neobisiidae	Novobisium	Novobisium sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	10434390000
SRS3166013	SRR6998658	SRS3166013	2080924	3.4013671875	whole body	Australia	NA	Arthropoda	Araneae	Corinnidae	Nyssus	Nyssus sp.	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	7481077500
DRS157875	DRR157004	DRS157875	2337523	1.6611328125	NA	NA	NA	Arthropoda	Araneae	Uloboridae	Octonoba	Octonoba grandiconcava	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4442960363
DRS158044	DRR157173	DRS158044	2337524	2.78125	NA	NA	NA	Arthropoda	Araneae	Uloboridae	Octonoba	Octonoba grandiprojecta	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6568052295
DRS158510	DRR155866	DRS158510	2337525	2.4462890625	NA	NA	NA	Arthropoda	Araneae	Uloboridae	Octonoba	Octonoba okinawensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5245417746
SRS5128504	SRR9720677	SRS5128504	198412	5.9111328125	not collected	China: Beijing	NA	Arthropoda	Araneae	Uloboridae	Octonoba	Octonoba sinensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	14625750300
DRS158745	DRR156101	DRS158745	2337527	2.1728515625	NA	NA	NA	Arthropoda	Araneae	Uloboridae	Octonoba	Octonoba sybotides	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4458336665
DRS158689	DRR156045	DRS158689	299643	3.2763671875	NA	NA	NA	Arthropoda	Araneae	Uloboridae	Octonoba	Octonoba varians	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6482175000
DRS158618	DRR155974	DRS158618	1112453	2.470703125	NA	NA	NA	Arthropoda	Araneae	Uloboridae	Octonoba	Octonoba yesoensis	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	6234244229
SRS1961259	SRR5234757	SRS1961259	48695	1.96484375	whole animal	Spain: Catalonia	NA	Arthropoda	Opiliones	Phalangiidae	Odiellus	Odiellus troguloides	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	4301197200
SRS2745059	SRR6360553	SRS2745059	2058406	1.2646484375	NA	Chile: Iquique	NA	Arthropoda	Araneae	Zoridae	Odo	Odo patricius	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	3501944400
SRS7858499	SRR13225216	SRS7858499	931172	1.5673828125	not applicable	Belgium: Opitter, Pollismolen	NA	Arthropoda	Araneae	Linyphiidae	Oedothorax	Oedothorax gibbosus	Terrestrial	FALSE	RNA-Seq	TRANSCRIPTOMIC	FALSE	5489029022
SRS4662556	SRR8944281	SRS4662556	2571192	3.0322265625	Lab reared	Poland	NA	Arthropoda	Araneae	Theraphosidae	Omothymus	Omothymus sp.	Terrestrial	TRUE	RNA-Seq	TRANSCRIPTOMIC	FALSE	8312212200
